setID	setName	source	setsize.orig
82926	Glycolysis / Gluconeogenesis	KEGG	65
82927	Citrate cycle (TCA cycle)	KEGG	30
82928	Pentose phosphate pathway	KEGG	28
82929	Pentose and glucuronate interconversions	KEGG	34
82930	Fructose and mannose metabolism	KEGG	36
82931	Galactose metabolism	KEGG	29
82932	Ascorbate and aldarate metabolism	KEGG	27
82934	Fatty acid elongation	KEGG	23
82935	Fatty acid metabolism	KEGG	44
82937	Steroid biosynthesis	KEGG	18
82938	Primary bile acid biosynthesis	KEGG	17
82939	Ubiquinone and other terpenoid-quinone biosynthesis	KEGG	10
82940	Steroid hormone biosynthesis	KEGG	56
82942	Oxidative phosphorylation	KEGG	120
82944	Purine metabolism	KEGG	166
82946	Pyrimidine metabolism	KEGG	101
82949	Glycine, serine and threonine metabolism	KEGG	37
82952	Valine, leucine and isoleucine degradation	KEGG	44
82956	Lysine degradation	KEGG	49
82957	Arginine and proline metabolism	KEGG	57
82958	Histidine metabolism	KEGG	28
82959	Tyrosine metabolism	KEGG	39
82960	Phenylalanine metabolism	KEGG	18
82964	Tryptophan metabolism	KEGG	39
82966	beta-Alanine metabolism	KEGG	29
82969	Selenocompound metabolism	KEGG	17
82973	Glutathione metabolism	KEGG	50
82974	Starch and sucrose metabolism	KEGG	55
82975	N-Glycan biosynthesis	KEGG	49
82976	Other glycan degradation	KEGG	17
82977	Mucin type O-Glycan biosynthesis	KEGG	31
82978	Other types of O-glycan biosynthesis	KEGG	30
82979	Amino sugar and nucleotide sugar metabolism	KEGG	48
82981	Glycosaminoglycan degradation	KEGG	19
82982	Glycosaminoglycan biosynthesis - chondroitin sulfate	KEGG	22
82983	Glycosaminoglycan biosynthesis - keratan sulfate	KEGG	15
82984	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	KEGG	26
82986	Glycerolipid metabolism	KEGG	54
82987	Inositol phosphate metabolism	KEGG	61
82988	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	KEGG	25
82989	Glycerophospholipid metabolism	KEGG	88
82990	Ether lipid metabolism	KEGG	39
82991	Arachidonic acid metabolism	KEGG	66
82992	Linoleic acid metabolism	KEGG	32
82993	alpha-Linolenic acid metabolism	KEGG	24
82994	Sphingolipid metabolism	KEGG	46
82995	Glycosphingolipid biosynthesis - lacto and neolacto series	KEGG	26
82996	Glycosphingolipid biosynthesis - globo series	KEGG	14
82997	Glycosphingolipid biosynthesis - ganglio series	KEGG	15
