setID	setName	source	size.orig	name.source
1	82926	Glycolysis / Gluconeogenesis	KEGG	66	Glycolysis / Gluconeogenesis
2	82927	Citrate cycle (TCA cycle)	KEGG	30	Citrate cycle (TCA cycle)
3	82928	Pentose phosphate pathway	KEGG	28	Pentose phosphate pathway
4	82929	Pentose and glucuronate interconversions	KEGG	34	Pentose and glucuronate interconversions
5	82930	Fructose and mannose metabolism	KEGG	32	Fructose and mannose metabolism
6	82931	Galactose metabolism	KEGG	31	Galactose metabolism
7	82932	Ascorbate and aldarate metabolism	KEGG	27	Ascorbate and aldarate metabolism
8	82934	Fatty acid elongation	KEGG	23	Fatty acid elongation
9	82935	Fatty acid degradation	KEGG	44	Fatty acid degradation
10	82937	Steroid biosynthesis	KEGG	20	Steroid biosynthesis
11	82938	Primary bile acid biosynthesis	KEGG	17	Primary bile acid biosynthesis
12	82940	Steroid hormone biosynthesis	KEGG	57	Steroid hormone biosynthesis
13	82942	Oxidative phosphorylation	KEGG	120	Oxidative phosphorylation (KEGG)
14	82944	Purine metabolism	KEGG	170	Purine metabolism (KEGG)
15	82946	Pyrimidine metabolism	KEGG	104	Pyrimidine metabolism (KEGG)
16	82949	Glycine, serine and threonine metabolism	KEGG	39	Glycine, serine and threonine metabolism
17	82952	Valine, leucine and isoleucine degradation	KEGG	44	Valine, leucine and isoleucine degradation
18	82956	Lysine degradation	KEGG	51	Lysine degradation
19	82957	Arginine and proline metabolism	KEGG	60	Arginine and proline metabolism
20	82958	Histidine metabolism	KEGG	28	Histidine metabolism
21	82959	Tyrosine metabolism	KEGG	39	Tyrosine metabolism
22	82960	Phenylalanine metabolism	KEGG	18	Phenylalanine metabolism
23	82964	Tryptophan metabolism	KEGG	40	Tryptophan metabolism (KEGG)
24	82966	beta-Alanine metabolism	KEGG	30	beta-Alanine metabolism
25	82969	Selenocompound metabolism	KEGG	17	Selenocompound metabolism
26	82973	Glutathione metabolism	KEGG	50	Glutathione metabolism (KEGG)
27	82974	Starch and sucrose metabolism	KEGG	56	Starch and sucrose metabolism
28	82975	N-Glycan biosynthesis	KEGG	49	N-Glycan biosynthesis
29	82976	Other glycan degradation	KEGG	18	Other glycan degradation
30	82977	Mucin type O-Glycan biosynthesis	KEGG	31	Mucin type O-Glycan biosynthesis
31	82978	Other types of O-glycan biosynthesis	KEGG	31	Other types of O-glycan biosynthesis
32	82979	Amino sugar and nucleotide sugar metabolism	KEGG	47	Amino sugar and nucleotide sugar metabolism
33	82981	Glycosaminoglycan degradation	KEGG	19	Glycosaminoglycan degradation
34	82982	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	KEGG	20	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate
35	82983	Glycosaminoglycan biosynthesis - keratan sulfate	KEGG	15	Glycosaminoglycan biosynthesis - keratan sulfate
